feature,importance
Market_Overround,0.03990139196057892
Home_Goals_Scored_Avg,0.033671836526159495
Away_Goals_Scored_Avg,0.03355396852023794
Away_Goals_Conceded_Avg,0.03313126451500722
Home_Goals_Conceded_Avg,0.03257829726099319
Away_Failed_Score,0.030796527176957498
Goals_Diff_Home,0.030621125169745127
General_Form,0.030551994207684133
Goals_Diff_Home,0.030139680002914948
Goals_Diff_Away,0.029856273877504613
Home_Failed_Score,0.02980441191200778
Goals_Diff_Away,0.029757475437097603
Home_Clean_Sheets,0.028142104106374348
Home_Win_Rate,0.028117808003820844
Away_Clean_Sheets,0.027842562277500756
Away_Points,0.027748903097331603
Home_Points,0.027700801930681567
Home_Clean_Sheets,0.027677515052239164
Away_Win_Rate,0.02754735684588259
Away_Clean_Sheets,0.027512631132038817
Points_Diff,0.026264687365651414
Position_Diff,0.024541340769490983
Home_League_Position,0.024540396421573296
B365H_Original,0.02415848280492744
Away_League_Position,0.0240056867830084
Home_ImpliedProb,0.023110141223388614
Market_Confidence,0.02282171912134092
B365A_Original,0.0227842414050436
Draw_ImpliedProb,0.022675128594636766
Away_ImpliedProb,0.02242267811372224
Home_Form,0.022389463959011084
Favorite_Odds,0.02214939194159887
Away_Form,0.021996054840371346
B365D_Original,0.02128320749309465
Underdog_Odds,0.019875603097327957
h2h_total_goals,0.011276354740765734
h2h_home_goals,0.008773229317628198
h2h_away_goals,0.008406037617543044
h2h_draw_rate,0.006057658167186318
h2h_away_win_rate,0.0060067427609559396
h2h_home_win_rate,0.005709801393297542
Home_Is_Favorite,0.00209802305567759
Draw_Value,0.0
Home_Value,0.0
Away_Value,0.0
