feature,importance
Home_Cards_Avg,0.08837149170365032
Away_Cards_Avg,0.056278249920032525
Market_Overround,0.0529423782198458
Home_Goals_Conceded_Avg,0.03858348091962691
Home_Clean_Sheets,0.03534133687520338
Away_Goals_Conceded_Avg,0.035285983125640775
Away_Goals_Scored_Avg,0.03485865393357348
Away_Clean_Sheets,0.0339509405282443
Home_Goals_Scored_Avg,0.03270012656670486
General_Form,0.031754400335646686
Away_Failed_Score,0.03046383318465746
Home_Failed_Score,0.030223149156174283
Goals_Diff_Home,0.027651865959371486
Away_Points,0.026764881869191192
Goals_Diff_Away,0.026728607648915523
Home_Points,0.025849229879146594
Away_Win_Rate,0.02572258003092395
Home_Win_Rate,0.02367211002961267
Away_Cards_Last5,0.023523650751446752
Points_Diff,0.0225348765408138
Home_Cards_Last5,0.021139291549987473
Home_League_Position,0.01935961904126091
Away_League_Position,0.019010986732097942
Underdog_Odds,0.017981533820553775
Away_Cards_Last3,0.01755340575835458
Draw_ImpliedProb,0.017130911195478778
B365D_Original,0.014727000648076619
Home_Cards_Last3,0.014588421301457507
Market_Confidence,0.014080992550614521
Favorite_Odds,0.013313114009232156
Away_ImpliedProb,0.010552470514516148
B365A_Original,0.010510624814980631
Home_Form,0.010176537788867235
B365H_Original,0.010071655490006708
Away_Form,0.010011898434799646
Away_Form,0.009840539890830766
Home_Form,0.009795242560062315
Home_ImpliedProb,0.009726942140332984
Position_Diff,0.009289178921068838
Position_Diff,0.008525492397316706
h2h_total_goals,0.007680301713405326
h2h_home_goals,0.006210876887486975
h2h_away_goals,0.0051327933793059765
h2h_home_win_rate,0.003516696314236105
h2h_away_win_rate,0.0033434373437343616
h2h_draw_rate,0.003047000010862671
Home_Is_Favorite,0.00025649894961269194
Home_Is_Favorite,0.0002247086630370514
Away_Value,0.0
Home_Value,0.0
Draw_Value,0.0
